交易日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交额(千元),收盘价(前复权)(元),收盘价(后复权)(元),换手率(%),换手率(自由流通)(%),量比,PE市盈率,PE市盈率(TTM),PB市净率,PS市销率,PS市销率(TTM),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),股息率(Tushare)(%),"股息率(TTM,Tushare)(%)",股息率(%),股息率(S2-滚动累计)(%),股息率(S1-沿用)(%),股息率(S2-累加)(%)
2007-09-25,8.5500,9.0500,8.4300,8.5300,,,27362297.2700,23766599.0520,3.4900,8.5300,43.4322,43.4322,,43.0329,34.7761,5.2083,13.2704,11.1202,23368908.4000,630000.0000,630000.0000,199336788.6520,5373900.0000,,,0.0000,0.0000,0.0000,0.7602
2007-09-26,8.6100,8.7700,8.5000,8.5600,0.0300,0.3500,4825808.1300,4164199.7060,3.5100,8.5600,7.6600,7.6600,,43.1842,34.8984,5.2266,13.3170,11.1593,23368908.4000,630000.0000,630000.0000,200037855.9040,5392800.0000,,,0.0000,0.0000,0.0000,0.7549
2007-09-27,8.6400,9.3000,8.6300,9.3000,0.7400,8.6400,6458049.7700,5787534.4230,3.8100,9.3000,10.2509,10.2509,,46.9174,37.9154,5.6785,14.4683,12.1240,23368908.4000,630000.0000,630000.0000,217330848.1200,5859000.0000,,,0.0000,0.0000,0.0000,0.7523
2007-09-28,9.4500,9.5000,9.2000,9.3500,0.0500,0.5400,5146260.2000,4799733.4380,3.8300,9.3500,8.1687,8.1687,,47.1697,38.1192,5.7090,14.5461,12.1892,23368908.4000,630000.0000,630000.0000,218499293.5400,5890500.0000,,,0.0000,0.0000,0.0000,0.6878
2007-10-08,9.5500,9.9900,9.3000,9.8200,0.4700,5.0300,5352056.5500,5188771.6900,4.0200,9.8200,8.4953,8.4953,,49.5408,40.0354,5.8879,15.2773,12.8020,23368908.4000,630000.0000,630000.0000,229482680.4880,6186600.0000,,,0.0000,0.0000,0.0000,0.6806
2007-10-09,9.7500,10.1200,9.5100,9.8500,0.0300,0.3100,3206263.8600,3179614.6770,4.0400,9.8500,5.0893,5.0893,0.3300,49.6921,40.1577,5.9059,15.3239,12.8411,23368908.4000,630000.0000,630000.0000,230183747.7400,6205500.0000,,,0.0000,0.0000,0.0000,0.6667
2007-10-10,9.8700,10.1600,9.8000,9.9500,0.1000,1.0200,3147928.7600,3152836.0110,4.0800,9.9500,4.9967,4.9967,0.6300,50.1966,40.5654,5.9658,15.4795,12.9714,23368908.4000,630000.0000,630000.0000,232520638.5800,6268500.0000,,,0.0000,0.0000,0.0000,0.6586
2007-10-11,10.0000,10.2600,9.8100,10.2400,0.2900,2.9100,3201707.8100,3214321.9150,4.2000,10.2400,5.0821,5.0821,0.6900,51.6596,41.7477,6.1397,15.9307,13.3495,23368908.4000,630000.0000,630000.0000,239297622.0160,6451200.0000,,,0.0000,0.0000,0.0000,0.6500
2007-10-12,10.2900,10.2900,9.5800,10.0600,-0.1800,-1.7600,3259280.2300,3242246.8440,4.1200,10.0600,5.1735,5.1735,0.8100,50.7515,41.0138,6.0318,15.6506,13.1148,23368908.4000,630000.0000,630000.0000,235091218.5040,6337800.0000,,,0.0000,0.0000,0.0000,0.6317
2007-10-15,9.9800,10.0500,9.6900,9.9500,-0.1100,-1.0900,2943624.4100,2897081.6400,4.0800,9.9500,4.6724,4.6724,0.8100,50.1966,40.5654,5.9658,15.4795,12.9714,23368908.4000,630000.0000,630000.0000,232520638.5800,6268500.0000,,,0.0000,0.0000,0.0000,0.6513
2007-10-16,9.9500,10.5300,9.9500,10.1300,0.1800,1.8100,3536729.4100,3626902.3510,4.1500,10.1300,5.6139,5.6139,1.1200,51.1047,41.2992,6.0738,15.7595,13.2061,23368908.4000,630000.0000,630000.0000,236727042.0920,6381900.0000,,,0.0000,0.0000,0.0000,0.6533
2007-10-17,10.0000,10.0700,9.8100,9.9100,-0.2200,-2.1700,1886883.0600,1869329.5830,4.0600,9.9100,2.9951,2.9951,0.5900,49.9948,40.4023,5.9419,15.4173,12.9193,23368908.4000,630000.0000,630000.0000,231585882.2440,6243300.0000,,,0.0000,0.0000,0.0000,0.6500
2007-10-18,9.8900,9.9000,9.5300,9.5900,-0.3200,-3.2300,1986577.3300,1916542.3340,3.9300,9.5900,3.1533,3.1533,0.6700,48.3804,39.0977,5.7500,14.9194,12.5021,23368908.4000,630000.0000,630000.0000,224107831.5560,6041700.0000,,,0.0000,0.0000,0.0000,0.6572
2007-10-19,9.6400,9.8000,9.5000,9.6000,0.0100,0.1000,1002651.5600,965433.3890,3.9300,9.6000,1.5915,1.5915,0.3700,48.4309,39.1384,5.7560,14.9350,12.5151,23368908.4000,630000.0000,630000.0000,224341520.6400,6048000.0000,,,0.0000,0.0000,0.0000,0.6743
2007-10-22,9.4500,9.5700,9.2900,9.3200,-0.2800,-2.9200,1179685.0800,1108344.8860,3.8200,9.3200,1.8725,1.8725,0.5200,47.0183,37.9969,5.5881,14.4994,12.1501,23368908.4000,630000.0000,630000.0000,217798226.2880,5871600.0000,,,0.0000,0.0000,0.0000,0.6878
2007-10-23,9.3200,9.6700,9.2500,9.6600,0.3400,3.6500,1458780.7000,1379063.8720,3.9600,9.6600,2.3155,2.3155,0.7600,48.7336,39.3831,5.7920,15.0283,12.5934,23368908.4000,630000.0000,630000.0000,225743655.1440,6085800.0000,,,0.0000,0.0000,0.0000,0.6974
2007-10-24,9.7200,9.9600,9.6300,9.6500,-0.0100,-0.1000,1794782.3200,1763478.3560,3.9500,9.6500,2.8489,2.8489,1.1900,48.6831,39.3423,5.7860,15.0128,12.5803,23368908.4000,630000.0000,630000.0000,225509966.0600,6079500.0000,,,0.0000,0.0000,0.0000,0.6687
2007-10-25,9.6100,9.9000,9.3700,9.7300,0.0800,0.8300,2022855.1400,1956783.1370,3.9900,9.7300,3.2109,3.2109,1.3600,49.0867,39.6684,5.8339,15.1372,12.6846,23368908.4000,630000.0000,630000.0000,227379478.7320,6129900.0000,,,0.0000,0.0000,0.0000,0.6764
2007-10-26,9.7000,9.9800,9.6400,9.9500,0.2200,2.2600,2406644.6100,2375801.4920,4.0800,9.9500,3.8201,3.8201,1.6100,50.1966,40.5654,5.9658,15.4795,12.9714,23368908.4000,630000.0000,630000.0000,232520638.5800,6268500.0000,,,0.0000,0.0000,0.0000,0.6701
2007-10-29,10.1500,10.6000,10.0700,10.3700,0.4200,4.2200,2857717.8800,2969062.4780,4.2500,10.3700,4.5361,4.5361,1.6100,52.3154,42.2777,6.2177,16.1329,13.5190,23368908.4000,630000.0000,630000.0000,242335580.1080,6533100.0000,,,0.0000,0.0000,0.0000,0.6404
2007-10-30,10.5000,10.9200,10.2800,10.8600,0.4900,4.7300,2626217.0900,2810330.5880,4.4500,10.8600,4.1686,4.1686,1.2500,54.7874,44.2754,6.5115,16.8952,14.1578,23368908.4000,630000.0000,630000.0000,253786345.2240,6841800.0000,,,0.0000,0.0000,0.0000,0.6190
2007-10-31,11.0000,11.0600,10.8000,10.9700,0.1100,1.0100,2868573.7900,3133229.3160,4.4900,10.9700,4.5533,4.5533,1.2300,55.3424,44.7238,6.5774,17.0663,14.3012,23368908.4000,630000.0000,630000.0000,256356925.1480,6911100.0000,,,0.0000,0.0000,0.0000,0.5909
2007-11-01,10.9600,11.5300,10.8300,11.3200,0.3500,3.1900,2611036.8600,2945068.6250,4.6400,11.3200,4.1445,4.1445,1.0200,57.1081,46.1507,6.7873,17.6108,14.7574,23368908.4000,630000.0000,630000.0000,264536043.0880,7131600.0000,,,0.0000,0.0000,0.0000,0.5931
2007-11-02,11.0900,11.5800,10.9700,11.2300,-0.0900,-0.8000,2356877.7900,2660084.8290,4.6000,11.2300,3.7411,3.7411,0.8800,56.6540,45.7838,6.7333,17.4708,14.6401,23368908.4000,630000.0000,630000.0000,262432841.3320,7074900.0000,,,0.0000,0.0000,0.0000,0.5861
2007-11-05,11.2300,11.2500,10.7000,10.8000,-0.4300,-3.8300,2521132.6900,2759240.2710,4.4200,10.8000,4.0018,4.0018,0.9500,54.4847,44.0307,6.4755,16.8019,14.0795,23368908.4000,630000.0000,630000.0000,252384210.7200,6804000.0000,,,0.0000,0.0000,0.0000,0.5788
2007-11-06,10.6800,10.9000,10.5000,10.6300,-0.1700,-1.5700,1741541.6800,1852160.1400,4.3500,10.6300,2.7644,2.7644,0.6700,53.6271,43.3377,6.3736,16.5374,13.8579,23368908.4000,630000.0000,630000.0000,248411496.2920,6696900.0000,,,0.0000,0.0000,0.0000,0.6086
2007-11-07,10.7800,10.9700,10.6400,10.9500,0.3200,3.0100,1171715.9200,1267589.5970,4.4900,10.9500,1.8599,1.8599,0.4800,55.2415,44.6423,6.5654,17.0352,14.2751,23368908.4000,630000.0000,630000.0000,255889546.9800,6898500.0000,,,0.0000,0.0000,0.0000,0.6030
2007-11-08,10.8000,11.1000,10.7100,10.7700,-0.1800,-1.6400,1440418.8800,1568253.9960,4.4100,10.7700,2.2864,2.2864,0.6900,54.3334,43.9084,6.4575,16.7552,14.0404,23368908.4000,630000.0000,630000.0000,251683143.4680,6785100.0000,,,0.0000,0.0000,0.0000,0.6019
2007-11-09,10.6900,10.9800,10.4700,10.8300,0.0600,0.5600,1326263.6100,1425283.8750,4.4400,10.8300,2.1052,2.1052,0.7200,54.6361,44.1530,6.4935,16.8485,14.1187,23368908.4000,630000.0000,630000.0000,253085277.9720,6822900.0000,,,0.0000,0.0000,0.0000,0.6080
2007-11-12,10.6000,10.9300,10.4000,10.8100,-0.0200,-0.1800,1927929.8100,2059720.3570,4.4300,10.8100,3.0602,3.0602,1.1800,54.5352,44.0715,6.4815,16.8174,14.0926,23368908.4000,630000.0000,630000.0000,252617899.8040,6810300.0000,,,0.0000,0.0000,0.0000,0.6132
2007-11-13,10.9200,11.0000,10.4900,10.5600,-0.2500,-2.3100,1460323.8100,1564541.6970,4.3300,10.5600,2.3180,2.3180,0.9600,53.2740,43.0523,6.3316,16.4285,13.7667,23368908.4000,630000.0000,630000.0000,246775672.7040,6652800.0000,,,0.0000,0.0000,0.0000,0.5952
2007-11-14,10.7000,10.8900,10.5200,10.8700,0.3100,2.9400,1325225.1700,1422182.3090,4.4500,10.8700,2.1035,2.1035,0.9000,54.8379,44.3161,6.5175,16.9108,14.1708,23368908.4000,630000.0000,630000.0000,254020034.3080,6848100.0000,,,0.0000,0.0000,0.0000,0.6075
2007-11-15,10.8600,11.1800,10.7200,11.0100,0.1400,1.2900,1928482.1500,2119130.1570,4.5100,11.0100,3.0611,3.0611,1.2900,55.5442,44.8869,6.6014,17.1286,14.3533,23368908.4000,630000.0000,630000.0000,257291681.4840,6936300.0000,,,0.0000,0.0000,0.0000,0.5985
2007-11-16,10.8800,11.0800,10.6800,10.8100,-0.2000,-1.8200,1290990.1300,1400573.6620,4.4300,10.8100,2.0492,2.0492,0.8100,54.5352,44.0715,6.4815,16.8174,14.0926,23368908.4000,630000.0000,630000.0000,252617899.8040,6810300.0000,,,0.0000,0.0000,0.0000,0.5974
2007-11-19,10.8400,10.8500,10.5800,10.7000,-0.1100,-1.0200,901162.0300,962283.6820,4.3800,10.7000,1.4304,1.4304,0.5700,53.9803,43.6230,6.4155,16.6463,13.9492,23368908.4000,630000.0000,630000.0000,250047319.8800,6741000.0000,,,0.0000,0.0000,0.0000,0.5996
2007-11-20,10.5700,10.8500,10.4100,10.7000,0.0000,0.0000,1128170.4500,1197375.8110,4.3800,10.7000,1.7907,1.7907,0.8200,53.9803,43.6230,6.4155,16.6463,13.9492,23368908.4000,630000.0000,630000.0000,250047319.8800,6741000.0000,,,0.0000,0.0000,0.0000,0.6149
2007-11-21,10.7100,10.7900,10.4600,10.4900,-0.2100,-1.9600,878715.9200,930651.1490,4.3000,10.4900,1.3948,1.3948,0.6700,52.9208,42.7669,6.2896,16.3196,13.6754,23368908.4000,630000.0000,630000.0000,245139849.1160,6608700.0000,,,0.0000,0.0000,0.0000,0.6069
2007-11-22,10.3000,10.4900,10.0000,10.1000,-0.3900,-3.7200,1375171.9300,1400023.8670,4.1400,10.1000,2.1828,2.1828,1.1200,50.9533,41.1769,6.0558,15.7129,13.1670,23368908.4000,630000.0000,630000.0000,236025974.8400,6363000.0000,,,0.0000,0.0000,0.0000,0.6311
2007-11-23,10.0000,10.2100,9.9000,10.2000,0.1000,0.9900,776850.1200,782424.3610,4.1800,10.2000,1.2331,1.2331,0.7000,51.4578,41.5846,6.1157,15.8684,13.2973,23368908.4000,630000.0000,630000.0000,238362865.6800,6426000.0000,,,0.0000,0.0000,0.0000,0.6500
2007-11-26,10.3500,10.3900,10.0400,10.0600,-0.1400,-1.3700,826253.4200,844084.6580,4.1200,10.0600,1.3115,1.3115,0.8200,50.7515,41.0138,6.0318,15.6506,13.1148,23368908.4000,630000.0000,630000.0000,235091218.5040,6337800.0000,,,0.0000,0.0000,0.0000,0.6280
2007-11-27,9.9800,10.2000,9.9100,10.0200,-0.0400,-0.4000,590057.8600,594716.5480,4.1100,10.0200,0.9366,0.9366,0.5900,50.5497,40.8507,6.0078,15.5884,13.0627,23368908.4000,630000.0000,630000.0000,234156462.1680,6312600.0000,,,0.0000,0.0000,0.0000,0.6513
2007-11-28,10.0700,10.1500,9.8000,9.8700,-0.1500,-1.5000,948974.9800,938994.1700,4.0400,9.8700,1.5063,1.5063,1.0700,49.7930,40.2392,5.9179,15.3550,12.8671,23368908.4000,630000.0000,630000.0000,230651125.9080,6218100.0000,,,0.0000,0.0000,0.0000,0.6455
2007-11-29,9.9900,10.4000,9.8400,10.3800,0.5100,5.1700,1597490.1600,1626850.2500,4.2500,10.3800,2.5357,2.5357,1.7700,52.3659,42.3184,6.2237,16.1485,13.5320,23368908.4000,630000.0000,630000.0000,242569269.1920,6539400.0000,,,0.0000,0.0000,0.0000,0.6507
2007-11-30,10.3500,10.4900,10.1300,10.2000,-0.1800,-1.7300,990591.1800,1016549.3600,4.1800,10.2000,1.5724,1.5724,1.0500,51.4578,41.5846,6.1157,15.8684,13.2973,23368908.4000,630000.0000,630000.0000,238362865.6800,6426000.0000,,,0.0000,0.0000,0.0000,0.6280
2007-12-03,10.1500,10.4000,10.0000,10.3000,0.1000,0.9800,814698.7800,833998.1050,4.2200,10.3000,1.2932,1.2932,0.8200,51.9623,41.9923,6.1757,16.0240,13.4277,23368908.4000,630000.0000,630000.0000,240699756.5200,6489000.0000,,,0.0000,0.0000,0.0000,0.6404
2007-12-04,10.3000,10.4300,10.2400,10.3100,0.0100,0.1000,705798.3400,729029.3130,4.2200,10.3100,1.1203,1.1203,0.7100,52.0127,42.0331,6.1817,16.0396,13.4407,23368908.4000,630000.0000,630000.0000,240933445.6040,6495300.0000,,,0.0000,0.0000,0.0000,0.6311
2007-12-05,10.2600,10.5300,10.1800,10.5100,0.2000,1.9400,1141487.6800,1187052.3890,4.3100,10.5100,1.8119,1.8119,1.1300,53.0217,42.8484,6.3016,16.3507,13.7015,23368908.4000,630000.0000,630000.0000,245607227.2840,6621300.0000,,,0.0000,0.0000,0.0000,0.6335
2007-12-06,10.5500,10.5600,10.3100,10.3600,-0.1500,-1.4300,648467.6300,675579.8490,4.2400,10.3600,1.0293,1.0293,0.6200,52.2650,42.2369,6.2117,16.1173,13.5059,23368908.4000,630000.0000,630000.0000,242101891.0240,6526800.0000,,,0.0000,0.0000,0.0000,0.6161
2007-12-07,10.4000,10.4300,10.2800,10.4200,0.0600,0.5800,872453.5600,903129.1670,4.2700,10.4200,1.3848,1.3848,1.0100,52.5677,42.4815,6.2476,16.2107,13.5841,23368908.4000,630000.0000,630000.0000,243504025.5280,6564600.0000,,,0.0000,0.0000,0.0000,0.6250
2007-12-10,10.2000,10.3900,10.1500,10.3800,-0.0400,-0.3800,1386090.0900,1424175.3730,4.2500,10.3800,2.2001,2.2001,1.6600,52.3659,42.3184,6.2237,16.1485,13.5320,23368908.4000,630000.0000,630000.0000,242569269.1920,6539400.0000,,,0.0000,0.0000,0.0000,0.6373
2007-12-11,10.4000,10.4000,10.0600,10.1900,-0.1900,-1.8300,1560616.3300,1589147.0890,4.1700,10.1900,2.4772,2.4772,1.6400,51.4074,41.5438,6.1097,15.8529,13.2843,23368908.4000,630000.0000,630000.0000,238129176.5960,6419700.0000,,,0.0000,0.0000,0.0000,0.6250
2007-12-12,10.1800,10.1800,9.9200,10.0000,-0.1900,-1.8600,1565570.0800,1564805.3310,4.1000,10.0000,2.4850,2.4850,1.4000,50.4488,40.7692,5.9958,15.5573,13.0366,23368908.4000,630000.0000,630000.0000,233689084.0000,6300000.0000,,,0.0000,0.0000,0.0000,0.6385
2007-12-13,9.9300,10.0000,9.8000,9.8300,-0.1700,-1.7000,1503034.8400,1487309.9940,4.0300,9.8300,2.3858,2.3858,1.2500,49.5912,40.0761,5.8939,15.2928,12.8150,23368908.4000,630000.0000,630000.0000,229716369.5720,6192900.0000,,,0.0000,0.0000,0.0000,0.6546
2007-12-14,9.7800,9.8200,9.6800,9.8200,-0.0100,-0.1000,1206093.5100,1177674.2380,4.0200,9.8200,1.9144,1.9144,0.8800,49.5408,40.0354,5.8879,15.2773,12.8020,23368908.4000,630000.0000,630000.0000,229482680.4880,6186600.0000,,,0.0000,0.0000,0.0000,0.6646
2007-12-17,9.8500,9.8900,9.4000,9.4300,-0.3900,-3.9700,1595096.6300,1521813.7240,3.8600,9.4300,2.5319,2.5319,1.1000,47.5732,38.4454,5.6541,14.6705,12.2935,23368908.4000,630000.0000,630000.0000,220368806.2120,5940900.0000,,,0.0000,0.0000,0.0000,0.6599
2007-12-18,9.4100,9.6500,9.3200,9.5200,0.0900,0.9500,669722.0600,635018.9290,3.9000,9.5200,1.0631,1.0631,0.4500,48.0273,38.8123,5.7080,14.8105,12.4109,23368908.4000,630000.0000,630000.0000,222472007.9680,5997600.0000,,,0.0000,0.0000,0.0000,0.6908
2007-12-19,9.6200,9.7600,9.5200,9.7400,0.2200,2.3100,617277.8400,597096.8090,3.9900,9.7400,0.9798,0.9798,0.4700,49.1372,39.7092,5.8399,15.1528,12.6977,23368908.4000,630000.0000,630000.0000,227613167.8160,6136200.0000,,,0.0000,0.0000,0.0000,0.6757
2007-12-20,9.7500,9.8400,9.6200,9.7800,0.0400,0.4100,778304.6100,760164.6840,4.0100,9.7800,1.2354,1.2354,0.7000,49.3390,39.8723,5.8639,15.2150,12.7498,23368908.4000,630000.0000,630000.0000,228547924.1520,6161400.0000,,,0.0000,0.0000,0.0000,0.6667
2007-12-21,9.7000,9.9800,9.6600,9.8100,0.0300,0.3100,1203577.1900,1179408.4590,4.0200,9.8100,1.9104,1.9104,1.2400,49.4903,39.9946,5.8819,15.2617,12.7889,23368908.4000,630000.0000,630000.0000,229248991.4040,6180300.0000,,,0.0000,0.0000,0.0000,0.6701
2007-12-24,9.8500,10.0000,9.7600,9.9500,0.1400,1.4300,1429068.1600,1412753.6140,4.0800,9.9500,2.2684,2.2684,1.4700,50.1966,40.5654,5.9658,15.4795,12.9714,23368908.4000,630000.0000,630000.0000,232520638.5800,6268500.0000,,,0.0000,0.0000,0.0000,0.6599
2007-12-25,9.9500,9.9500,9.6600,9.7400,-0.2100,-2.1100,3673220.4600,3580983.4470,3.9900,9.7400,4.0814,5.8305,3.9100,49.1372,39.7092,5.8399,15.1528,12.6977,23368908.4000,900000.0000,630000.0000,227613167.8160,8766000.0000,,,0.0000,0.0000,0.0000,0.6533
2007-12-26,9.7400,9.8100,9.4600,9.6100,-0.1300,-1.3300,2894348.3700,2782720.6190,3.9400,9.6100,3.2159,4.5942,1.8800,48.4813,39.1792,5.7620,14.9506,12.5282,23368908.4000,900000.0000,630000.0000,224575209.7240,8649000.0000,,,0.0000,0.0000,0.0000,0.6674
2007-12-27,9.6500,9.8700,9.5000,9.8700,0.2600,2.7100,2964532.0900,2884578.3070,4.0400,9.8700,3.2939,4.7056,1.4900,49.7930,40.2392,5.9179,15.3550,12.8671,23368908.4000,900000.0000,630000.0000,230651125.9080,8883000.0000,,,0.0000,0.0000,0.0000,0.6736
2007-12-28,9.9100,10.0400,9.8000,9.8500,-0.0200,-0.2000,2705171.8100,2683427.6100,4.0400,9.8500,3.0057,4.2939,1.1100,49.6921,40.1577,5.9059,15.3239,12.8411,23368908.4000,900000.0000,630000.0000,230183747.7400,8865000.0000,,,0.0000,0.0000,0.0000,0.6559
2008-01-02,9.9000,9.9200,9.7000,9.8000,-0.0500,-0.5100,1492107.1400,1461973.8090,4.0100,9.8000,1.6579,2.3684,0.5500,33.1651,39.9538,5.8759,10.4354,12.7759,23368908.4000,900000.0000,630000.0000,229015302.3200,8820000.0000,,,0.0657,0.0657,0.6566,2.6182
2008-01-03,9.7800,9.7800,9.5000,9.7200,-0.0800,-0.8200,2529611.1700,2430770.6240,3.9800,9.7200,2.8107,4.0153,0.9200,32.8944,39.6277,5.8279,10.3503,12.6716,23368908.4000,900000.0000,630000.0000,227145789.6480,8748000.0000,,,0.0665,0.0665,0.6646,2.6503
2008-01-04,9.6900,9.7800,9.5700,9.7300,0.0100,0.1000,1788653.5600,1736366.9790,3.9900,9.7300,1.9874,2.8391,0.7100,32.9283,39.6684,5.8339,10.3609,12.6846,23368908.4000,900000.0000,630000.0000,227379478.7320,8757000.0000,,,0.0671,0.0671,0.6708,2.6749
2008-01-07,9.7300,9.7300,9.5700,9.6800,-0.0500,-0.5100,2457628.3900,2374526.3750,3.9700,9.6800,2.7307,3.9010,1.0700,32.7590,39.4646,5.8040,10.3077,12.6194,23368908.4000,900000.0000,630000.0000,226211033.3120,8712000.0000,,,0.0668,0.0668,0.6680,2.6639
2008-01-08,9.7200,9.9500,9.7100,9.8300,0.1500,1.5500,2832833.4700,2795917.8270,4.0300,9.8300,3.1476,4.4966,1.2900,33.2667,40.0761,5.8939,10.4674,12.8150,23368908.4000,900000.0000,630000.0000,229716369.5720,8847000.0000,,,0.0669,0.0669,0.6687,2.6667
2008-01-09,9.8600,9.9300,9.7800,9.8700,0.0400,0.4100,1640953.8300,1617402.4310,4.0400,9.8700,1.8233,2.6047,0.7400,33.4020,40.2392,5.9179,10.5100,12.8671,23368908.4000,900000.0000,630000.0000,230651125.9080,8883000.0000,,,0.0659,0.0659,0.6592,2.6288
2008-01-10,9.9500,10.0200,9.8300,9.9100,0.0400,0.4100,2046125.8000,2031354.5870,4.0600,9.9100,2.2735,3.2478,0.9100,33.5374,40.4023,5.9419,10.5526,12.9193,23368908.4000,900000.0000,630000.0000,231585882.2440,8919000.0000,,,0.0653,0.0653,0.6533,2.6050
2008-01-11,9.9300,10.1500,9.9300,10.0900,0.1800,1.8200,2538389.4100,2551489.0530,4.1300,10.0900,2.8204,4.0292,1.1800,34.1466,41.1361,6.0498,10.7443,13.1539,23368908.4000,900000.0000,630000.0000,235792285.7560,9081000.0000,,,0.0655,0.0655,0.6546,2.6103
2008-01-14,10.1600,10.2100,10.0000,10.0400,-0.0500,-0.5000,1817153.1000,1829365.6650,4.1100,10.0400,2.0191,2.8844,0.7900,33.9774,40.9323,6.0198,10.6910,13.0888,23368908.4000,900000.0000,630000.0000,234623840.3360,9036000.0000,,,0.0640,0.0640,0.6398,2.5512
2008-01-15,10.0500,10.0900,9.8000,9.8400,-0.2000,-1.9900,2158174.5400,2136415.6150,4.0300,9.8400,2.3980,3.4257,0.9900,33.3005,40.1169,5.8999,10.4780,12.8280,23368908.4000,900000.0000,630000.0000,229950058.6560,8856000.0000,,,0.0647,0.0647,0.6468,2.5791
2008-01-16,9.7700,9.7700,9.5500,9.6100,-0.2300,-2.3400,2865143.0500,2759646.8360,3.9400,9.6100,3.1835,4.5478,1.4000,32.5222,39.1792,5.7620,10.2331,12.5282,23368908.4000,900000.0000,630000.0000,224575209.7240,8649000.0000,,,0.0665,0.0665,0.6653,2.6530
2008-01-17,9.5300,9.6500,9.1600,9.3500,-0.2600,-2.7100,2662407.9500,2503397.7100,3.8300,9.3500,2.9582,4.2260,1.1700,31.6423,38.1192,5.6061,9.9563,12.1892,23368908.4000,900000.0000,630000.0000,218499293.5400,8415000.0000,,,0.0682,0.0682,0.6821,2.7198
2008-01-18,9.4600,9.5100,9.3000,9.4100,0.0600,0.6400,1226162.6500,1152644.7450,3.8600,9.4100,1.3624,1.9463,0.5100,31.8453,38.3638,5.6421,10.0202,12.2675,23368908.4000,900000.0000,630000.0000,219901428.0440,8469000.0000,,,0.0687,0.0687,0.6871,2.7400
2008-01-21,9.4300,9.4500,9.0000,9.0200,-0.3900,-4.1400,1987145.4100,1815305.7030,3.7000,9.0200,2.2079,3.1542,0.9300,30.5255,36.7738,5.4082,9.6049,11.7590,23368908.4000,900000.0000,630000.0000,210787553.7680,8118000.0000,,,0.0689,0.0689,0.6893,2.7487
2008-01-22,8.8800,8.9000,8.1200,8.2800,-0.7400,-8.2000,2641918.2700,2237720.8040,3.3900,8.2800,2.9355,4.1935,1.2100,28.0212,33.7569,4.9645,8.8169,10.7943,23368908.4000,900000.0000,630000.0000,193494561.5520,7452000.0000,,,0.0732,0.0732,0.7320,2.9189
2008-01-23,8.3300,8.6000,8.1800,8.5100,0.2300,2.7800,1801313.4600,1516833.4050,3.4900,8.5100,2.0015,2.8592,0.7900,28.7995,34.6946,5.1024,9.0618,11.0942,23368908.4000,900000.0000,630000.0000,198869410.4840,7659000.0000,,,0.0780,0.0780,0.7803,3.1116
2008-01-24,8.6500,8.6900,8.1900,8.3500,-0.1600,-1.8800,2038855.4600,1709944.2220,3.4200,8.3500,2.2654,3.2363,0.9900,28.2581,34.0423,5.0065,8.8914,10.8856,23368908.4000,900000.0000,630000.0000,195130385.1400,7515000.0000,,,0.0751,0.0751,0.7514,2.9965
2008-01-25,8.3500,8.7100,8.1600,8.6200,0.2700,3.2300,1932552.4300,1633286.2020,3.5300,8.6200,2.1473,3.0675,1.0000,29.1718,35.1431,5.1684,9.1789,11.2376,23368908.4000,900000.0000,630000.0000,201439990.4080,7758000.0000,,,0.0778,0.0778,0.7784,3.1042
2008-01-28,8.5300,8.5300,8.0000,8.0300,-0.5900,-6.8400,1378565.1900,1128035.9280,3.2900,8.0300,1.5317,2.1882,0.6600,27.1751,32.7377,4.8146,8.5507,10.4684,23368908.4000,900000.0000,630000.0000,187652334.4520,7227000.0000,,,0.0762,0.0762,0.7620,3.0387
2008-01-29,8.0700,8.2100,7.8000,8.0600,0.0300,0.3700,986747.4500,790773.2890,3.3000,8.0600,1.0964,1.5663,0.5000,27.2766,32.8600,4.8326,8.5826,10.5075,23368908.4000,900000.0000,630000.0000,188353401.7040,7254000.0000,,,0.0805,0.0805,0.8055,3.2119
2008-01-30,8.1400,8.2300,7.7800,7.8900,-0.1700,-2.1100,1737101.5900,1385241.1500,3.2300,7.8900,1.9301,2.7573,1.0700,26.7013,32.1669,4.7307,8.4016,10.2859,23368908.4000,900000.0000,630000.0000,184380687.2760,7101000.0000,,,0.0799,0.0799,0.7985,3.1843
2008-01-31,7.9000,8.0500,7.8200,7.9100,0.0200,0.2500,738206.9900,587150.9690,3.2400,7.9100,0.8202,1.1718,0.4600,26.7690,32.2484,4.7427,8.4229,10.3120,23368908.4000,900000.0000,630000.0000,184848065.4440,7119000.0000,,,0.0823,0.0823,0.8228,3.2810
2008-02-01,7.9600,8.1700,7.8400,8.1000,0.1900,2.4000,1208013.0600,966872.4980,3.3200,8.1000,1.3422,1.9175,0.8900,27.4120,33.0231,4.8566,8.6252,10.5597,23368908.4000,900000.0000,630000.0000,189288158.0400,7290000.0000,,,0.0817,0.0817,0.8166,3.2563
